Dog Name,Adaptability,Adapts Well To Apartment Living,Good For Novice Dog Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All-around friendliness,Best Family Dogs,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise needs,High Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Officially Recognized,Temperament,Height,Weight,Life Expectancy,FeaturedImageURL,AdditionalImageURLs
Afador,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3,2,3,4,4,4,1,5,4,4,4,4,4,4,4,4,3,No,"Loyal, Intelligent, Friendly",22-28 inches,50-100 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afador/Afador-featured.jpg,
Afaird,3,2,2,3,2,4,2,4,5,4,4,4,3,5,2,1,3,2,4,3,3,4,2,3,3,4,5,5,4,5,5,No,"Loyal, Protective, Intelligent",21-27 inches (male),50-100 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afaird/Afaird featured.jpg,
Affen Border Terrier,3,3,3,3,4,3,2,4,5,2,5,4,3,2,2,4,4,2,1,4,4,5,3,5,5,4,4,5,3,4,5,No,"Playful, Intelligent, Curious",10-15 inches,11-20 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affen Border Terrier/Affen Border Terrier-featured.jpg,
Affen Spaniel,3,4,4,2,3,3,2,5,5,5,5,5,3,2,2,3,4,3,1,3,3,4,2,4,4,2,3,3,2,3,5,No,"Playful, Affectionate, Intelligent",10-15 inches,10-20 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affen Spaniel/Affen Spaniel-featured.jpg,
Affen Tzu,3,5,3,4,1,2,1,5,5,5,5,5,2,3,2,1,4,3,1,3,3,3,1,3,4,3,4,5,4,2,4,No,"Playful, Affectionate, Alert",9-12 inches,8-14 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affen Tzu/Affen-featured.jpg,
Affenchon,3,3,4,3,3,2,2,5,5,4,5,4,2,2,1,3,4,2,1,3,4,4,1,3,5,2,3,3,2,3,4,No,"Affectionate, Playful, Alert",10-12 inches,10-15 pounds,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenchon/Affenchon-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenchon/Affenchon-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenchon/Affenchon-2.jpg
Affengriffon,3,4,4,2,3,3,2,4,5,3,4,4,2,1,3,3,3,2,1,4,3,3,3,5,4,3,3,3,3,2,4,No,"Affectionate, Playful, Curious",10-12 inches,7-13 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affengriffon/Affengriffon-featured.jpg,
Affenhuahua,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1,4,4,5,1,3,3,3,4,2,4,2,3,4,3,3,3,No,"Lively, Affectionate, Alert",6-12 inches,5-15 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenhuahua/Affenhuahua-featured.jpg,
Affenpinscher,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1,3,4,3,1,3,2,4,4,3,2,2,4,4,3,3,4,Yes,confident / famously funny / fearless,9-11.5 inches,7-10 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpinscher/Affenpinscher-6.jpg
Affenpoo,3,3,3,3,2,3,1,4,5,3,4,2,2,3,1,2,4,2,2,4,4,5,2,4,4,4,3,4,3,3,3,No,"Affectionate, Intelligent, Playful",10-15 inches,5-15 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpoo/Affenpoo-featured.jpg,
